1F933 1F3FC                                            :selfie;skin-tone-ml
1F933 1F3FD                                            :selfie;skin-tone-m
1F933 1F3FE                                            :selfie;skin-tone-md
1F933 1F3FF                                            :selfie;skin-tone-d
1F4AA                                                  :flexed-biceps
1F4AA 1F3FB                                            :flexed-biceps;skin-tone-l
1F4AA 1F3FC                                            :flexed-biceps;skin-tone-ml
1F4AA 1F3FD                                            :flexed-biceps;skin-tone-m
1F4AA 1F3FE                                            :flexed-biceps;skin-tone-md
1F4AA 1F3FF                                            :flexed-biceps;skin-tone-d
1F9BE                                                  :mechanical-arm
1F9BF                                                  :mechanical-leg
1F9B5                                                  :leg
1F9B5 1F3FB                                            :leg;skin-tone-l
1F9B5 1F3FC                                            :leg;skin-tone-ml
1F9B5 1F3FD                                            :leg;skin-tone-m
1F9B5 1F3FE                                            :leg;skin-tone-md
1F9B5 1F3FF                                            :leg;skin-tone-d
1F9B6                                                  :foot
1F9B6 1F3FB                                            :foot;skin-tone-l
1F9B6 1F3FC                                            :foot;skin-tone-ml
1F9B6 1F3FD                                            :foot;skin-tone-m
1F9B6 1F3FE                                            :foot;skin-tone-md
1F9B6 1F3FF                                            :foot;skin-tone-d
1F442                                                  :ear
1F442 1F3FB                                            :ear;skin-tone-l
1F442 1F3FC                                            :ear;skin-tone-ml
1F442 1F3FD                                            :ear;skin-tone-m
1F442 1F3FE                                            :ear;skin-tone-md
1F442 1F3FF                                            :ear;skin-tone-d
1F9BB                                                  :ear-with-hearing-aid
1F9BB 1F3FB                                            :ear-with-hearing-aid;skin-tone-l
1F9BB 1F3FC                                            :ear-with-hearing-aid;skin-tone-ml
1F9BB 1F3FD                                            :ear-with-hearing-aid;skin-tone-m
1F9BB 1F3FE                                            :ear-with-hearing-aid;skin-tone-md
1F9BB 1F3FF                                            :ear-with-hearing-aid;skin-tone-d
1F443                                                  :nose
1F443 1F3FB                                            :nose;skin-tone-l
1F443 1F3FC                                            :nose;skin-tone-ml
1F443 1F3FD                                            :nose;skin-tone-m
1F443 1F3FE                                            :nose;skin-tone-md
1F443 1F3FF                                            :nose;skin-tone-d
1F9E0                                                  :brain
1FAC0                                                  :anatomical-heart
1FAC1                                                  :lungs
1F9B7                                                  :tooth
1F9B4                                                  :bone
1F440                                                  :eyes
1F441 FE0F                                             :eye
1F441                                                  :eye
1F445                                                  :tongue
1F444                                                  :mouth
1F476                                                  :baby
1F476 1F3FB                                            :baby;skin-tone-l
1F476 1F3FC                                            :baby;skin-tone-ml
1F476 1F3FD                                            :baby;skin-tone-m
1F476 1F3FE                                            :baby;skin-tone-md
1F476 1F3FF                                            :baby;skin-tone-d
1F9D2                                                  :child
1F9D2 1F3FB                                            :child;skin-tone-l
1F9D2 1F3FC                                            :child;skin-tone-ml
1F9D2 1F3FD                                            :child;skin-tone-m
1F9D2 1F3FE                                            :child;skin-tone-md
1F9D2 1F3FF                                            :child;skin-tone-d
1F466                                                  :boy
1F466 1F3FB                                            :boy;skin-tone-l
1F466 1F3FC                                            :boy;skin-tone-ml
1F466 1F3FD                                            :boy;skin-tone-m
1F466 1F3FE                                            :boy;skin-tone-md
1F466 1F3FF                                            :boy;skin-tone-d
1F467                                                  :girl
1F467 1F3FB                                            :girl;skin-tone-l
1F467 1F3FC                                            :girl;skin-tone-ml
1F467 1F3FD                                            :girl;skin-tone-m
1F467 1F3FE                                            :girl;skin-tone-md
1F467 1F3FF                                            :girl;skin-tone-d
1F9D1                                                  :person
